-------------------------------------------------
Time	| Thread | Register Num	| Wr Data	|
-------------------------------------------------
27360.0 	|	00 	|	x15 		|   4198108 	| 
27400.0 	|	00 	|	x14 		|         5 	| 
27440.0 	|	00 	|	x15 		|         3 	| 
27480.0 	|	00 	|	x15 		|         4 	| 
27520.0 	|	00 	|	x15 		|        16 	| 
27560.0 	|	00 	|	x13 		|   4198096 	| 
27600.0 	|	00 	|	x15 		|   4198112 	| 
27640.0 	|	00 	|	x15 		|         6 	| 
27720.0 	|	00 	|	x15 		|         3 	| 
27760.0 	|	00 	|	x15 		|         4 	| 
27840.0 	|	00 	|	x14 		|         8 	| 
27880.0 	|	00 	|	x15 		|         2 	| 
27920.0 	|	00 	|	x15 		|         6 	| 
27960.0 	|	00 	|	x15 		|         5 	| 
28000.0 	|	00 	|	x14 		|         4 	| 
28080.0 	|	00 	|	x15 		|         4 	| 
28120.0 	|	00 	|	x15 		|        16 	| 
28160.0 	|	00 	|	x14 		|   4198096 	| 
